# x y z c
-0.820432 -0.158832 -0.94 -0.06
-0.826072 -0.105968 -0.94 -0.04
-0.829456 -0.053008 -0.94 -0.02
-0.830584 1.63703217648e-15 -0.94 6.17561557448e-16
-0.829456 0.053008 -0.94 0.02
-0.826072 0.105968 -0.94 0.04
-0.820432 0.158832 -0.94 0.06
-0.812536 0.211552 -0.94 0.08
-0.802384 0.26408 -0.94 0.1
-0.789976 0.316368 -0.94 0.12
-0.775312 0.368368 -0.94 0.14
-0.758392 0.420032 -0.94 0.16
-0.739216 0.471312 -0.94 0.18
-0.717784 0.52216 -0.94 0.2
-0.694096 0.572528 -0.94 0.22
-0.668152 0.622368 -0.94 0.24
-0.639952 0.671632 -0.94 0.26
-0.609496 0.720272 -0.94 0.28
-0.576784 0.76824 -0.94 0.3
-0.541816 0.815488 -0.94 0.32
-0.504592 0.861968 -0.94 0.34
-0.465112 0.907632 -0.94 0.36
-0.423376 0.952432 -0.94 0.38
-0.379384 0.99632 -0.94 0.4
-0.333136 1.039248 -0.94 0.42
-0.284632 1.081168 -0.94 0.44
-0.233872 1.122032 -0.94 0.46
-0.180856 1.161792 -0.94 0.48
-0.125584 1.2004 -0.94 0.5
-0.068056 1.237808 -0.94 0.52
-0.008272 1.273968 -0.94 0.54
0.053768 1.308832 -0.94 0.56
0.118064 1.342352 -0.94 0.58
0.184616 1.37448 -0.94 0.6
0.253424 1.405168 -0.94 0.62
0.324488 1.434368 -0.94 0.64
0.397808 1.462032 -0.94 0.66
0.473384 1.488112 -0.94 0.68
0.551216 1.51256 -0.94 0.7
0.631304 1.535328 -0.94 0.72
0.713648 1.556368 -0.94 0.74
0.798248 1.575632 -0.94 0.76
0.885104 1.593072 -0.94 0.78
0.974216 1.60864 -0.94 0.8
1.065584 1.622288 -0.94 0.82
1.159208 1.633968 -0.94 0.84
1.255088 1.643632 -0.94 0.86
1.353224 1.651232 -0.94 0.88
1.453616 1.65672 -0.94 0.9
1.556264 1.660048 -0.94 0.92
1.661168 1.661168 -0.94 0.94
1.768328 1.660032 -0.94 0.96
1.877744 1.656592 -0.94 0.98
1.989416 1.6508 -0.94 1.0

1.981312 -1.5392 -0.92 -1
1.872016 -1.547224 -0.92 -0.98
1.764928 -1.552896 -0.92 -0.96
1.660048 -1.556264 -0.92 -0.94
1.557376 -1.557376 -0.92 -0.92
1.456912 -1.55628 -0.92 -0.9
1.358656 -1.553024 -0.92 -0.88
1.262608 -1.547656 -0.92 -0.86
1.168768 -1.540224 -0.92 -0.84
1.077136 -1.530776 -0.92 -0.82
0.987712 -1.51936 -0.92 -0.8
0.900496 -1.506024 -0.92 -0.78
0.815488 -1.490816 -0.92 -0.76
0.732688 -1.473784 -0.92 -0.74
0.652096 -1.454976 -0.92 -0.72
0.573712 -1.43444 -0.92 -0.7
0.497536 -1.412224 -0.92 -0.68
0.423568 -1.388376 -0.92 -0.66
0.351808 -1.362944 -0.92 -0.64
0.282256 -1.335976 -0.92 -0.62
0.214912 -1.30752 -0.92 -0.6
0.149776 -1.277624 -0.92 -0.58
0.086848 -1.246336 -0.92 -0.56
0.026128 -1.213704 -0.92 -0.54
-0.032384 -1.179776 -0.92 -0.52
-0.088688 -1.1446 -0.92 -0.5
-0.142784 -1.108224 -0.92 -0.48
-0.194672 -1.070696 -0.92 -0.46
-0.244352 -1.032064 -0.92 -0.44
-0.291824 -0.992376 -0.92 -0.42
-0.337088 -0.95168 -0.92 -0.4
-0.380144 -0.910024 -0.92 -0.38
-0.420992 -0.867456 -0.92 -0.36
-0.459632 -0.824024 -0.92 -0.34
-0.496064 -0.779776 -0.92 -0.32
-0.530288 -0.73476 -0.92 -0.3
-0.562304 -0.689024 -0.92 -0.28
-0.592112 -0.642616 -0.92 -0.26
-0.619712 -0.595584 -0.92 -0.24
-0.645104 -0.547976 -0.92 -0.22
-0.668288 -0.49984 -0.92 -0.2
-0.689264 -0.451224 -0.92 -0.18
-0.708032 -0.402176 -0.92 -0.16
-0.724592 -0.352744 -0.92 -0.14
-0.738944 -0.302976 -0.92 -0.12
-0.751088 -0.25292 -0.92 -0.1
-0.761024 -0.202624 -0.92 -0.08
-0.768752 -0.152136 -0.92 -0.06
-0.774272 -0.101504 -0.92 -0.04
-0.777584 -0.050776 -0.92 -0.02
-0.778688 1.56811230667e-15 -0.92 6.17561557448e-16
-0.777584 0.050776 -0.92 0.02
-0.774272 0.101504 -0.92 0.04
-0.768752 0.152136 -0.92 0.06
-0.761024 0.202624 -0.92 0.08
-0.751088 0.25292 -0.92 0.1
-0.738944 0.302976 -0.92 0.12
-0.724592 0.352744 -0.92 0.14
-0.708032 0.402176 -0.92 0.16
-0.689264 0.451224 -0.92 0.18
-0.668288 0.49984 -0.92 0.2
-0.645104 0.547976 -0.92 0.22
-0.619712 0.595584 -0.92 0.24
-0.592112 0.642616 -0.92 0.26
-0.562304 0.689024 -0.92 0.28
-0.530288 0.73476 -0.92 0.3
-0.496064 0.779776 -0.92 0.32
-0.459632 0.824024 -0.92 0.34
-0.420992 0.867456 -0.92 0.36
-0.380144 0.910024 -0.92 0.38
-0.337088 0.95168 -0.92 0.4
-0.291824 0.992376 -0.92 0.42
-0.244352 1.032064 -0.92 0.44
-0.194672 1.070696 -0.92 0.46
-0.142784 1.108224 -0.92 0.48
-0.088688 1.1446 -0.92 0.5
-0.032384 1.179776 -0.92 0.52
0.026128 1.213704 -0.92 0.54
0.086848 1.246336 -0.92 0.56
0.149776 1.277624 -0.92 0.58
0.214912 1.30752 -0.92 0.6
0.282256 1.335976 -0.92 0.62
0.351808 1.362944 -0.92 0.64
0.423568 1.388376 -0.92 0.66
0.497536 1.412224 -0.92 0.68
0.573712 1.43444 -0.92 0.7
0.652096 1.454976 -0.92 0.72
